id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,Subscription
F_SCI_L023_Q232,23,Objects Around Us,Which of these can you touch?,Apple,Air,Wind,,Apple,MCQ,,
F_SCI_L023_Q233,23,Objects Around Us,Which of these is easy to hold?,Air,Stone,Smoke,Water,Stone,MCQ,,
F_SCI_L023_Q234,23,Objects Around Us,Match the object with its use,,,,,,Match,"[{""left"":""Book"",""right"":""Read""},{""left"":""Chair"",""right"":""Sit""},{""left"":""Cup"",""right"":""Drink""},{""left"":""Ball"",""right"":""Play""}]",
F_SCI_L024_Q235,24,Objects Around Us,Which of these can you pour?,Water,Book,Rock,,Water,MCQ,,
F_SCI_L024_Q236,24,Objects Around Us,Water can be poured.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L024_Q237,24,Objects Around Us,Can you pour milk into a glass?,Yes,No,,,Yes,MCQ,,
F_SCI_L024_Q238,24,Objects Around Us,Which of these can you drink?,Juice,Chair,Pencil,,Juice,MCQ,,
F_SCI_L024_Q239,24,Objects Around Us,Which of these cannot be poured?,Table,Milk,Juice,Water,Table,MCQ,,
F_SCI_L024_Q240,24,Objects Around Us,Milk can be poured.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L024_Q241,24,Objects Around Us,Can you pour water into a bottle?,Yes,No,,,Yes,MCQ,,
F_SCI_L024_Q242,24,Objects Around Us,Which of these holds water?,Bottle,Pencil,Book,,Bottle,MCQ,,
F_SCI_L024_Q243,24,Objects Around Us,Juice can be poured into a cup.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L024_Q244,24,Objects Around Us,Match the object with what it can do,,,,,,Match,"[{""left"":""Bottle"",""right"":""Hold Water""},{""left"":""Cup"",""right"":""Drink""},{""left"":""Ball"",""right"":""Bounce""},{""left"":""Book"",""right"":""Read""}]",
F_SCI_L025_Q245,25,Objects Around Us,What do we breathe?,Air,Milk,Juice,,Air,MCQ,,
F_SCI_L025_Q246,25,Objects Around Us,Air is all around us.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L025_Q247,25,Objects Around Us,Can you see air?,Yes,No,,,No,MCQ,,
F_SCI_L025_Q248,25,Objects Around Us,Which of these is filled with air?,Balloon,Book,Chair,,Balloon,MCQ,,
F_SCI_L025_Q249,25,Objects Around Us,Can you feel the wind on your face?,Yes,No,,,Yes,MCQ,,
F_SCI_L025_Q250,25,Objects Around Us,Air fills balloons.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L025_Q251,25,Objects Around Us,Can you feel air when the wind blows?,Yes,No,,,Yes,MCQ,,
F_SCI_L025_Q252,25,Objects Around Us,Which of these is filled with air?,Football,Book,Chair,,Football,MCQ,,
F_SCI_L025_Q253,25,Objects Around Us,Which of these can you pour into a cup?,Pencil,Water,Book,Stone,Water,MCQ,,
F_SCI_L025_Q254,25,Objects Around Us,Match the object with where you use it,,,,,,Match,"[{""left"":""Bed"",""right"":""Sleep""},{""left"":""Chair"",""right"":""Sit""},{""left"":""Cup"",""right"":""Drink""},{""left"":""Book"",""right"":""Read""}]",
F_SCI_L026_Q255,26,Objects Around Us,Ice is very cold.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L026_Q256,26,Objects Around Us,Can you hold an ice cube?,Yes,No,,,Yes,MCQ,,
F_SCI_L026_Q257,26,Objects Around Us,Which of these is very cold?,Ice Cube,Book,Pillow,,Ice Cube,MCQ,,
F_SCI_L026_Q258,26,Objects Around Us,Ice is made from water.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L026_Q259,26,Objects Around Us,Which of these melts in the sun?,Ice Cube,Stone,Chair,Book,Ice Cube,MCQ,,
F_SCI_L026_Q260,26,Objects Around Us,Can ice change into water?,Yes,No,,,Yes,MCQ,,
F_SCI_L026_Q261,26,Objects Around Us,Which of these can you drink?,Milk,Table,Pencil,,Milk,MCQ,,
F_SCI_L026_Q262,26,Objects Around Us,Water has no color.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L026_Q263,26,Objects Around Us,Which of these is safe to drink?,Clean Water,Smoke,Oil,Sand,Clean Water,MCQ,,
F_SCI_L026_Q264,26,Objects Around Us,Match the object with its description,,,,,,Match,"[{""left"":""Ice"",""right"":""Cold""},{""left"":""Water"",""right"":""Drink""},{""left"":""Balloon"",""right"":""Filled with Air""},{""left"":""Book"",""right"":""Read""}]",
F_SCI_L027_Q265,27,Objects Around Us,Which of these is used for drinking water?,Glass,Stone,Shoe,,Glass,MCQ,,
F_SCI_L027_Q266,27,Objects Around Us,A bottle can hold water.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L027_Q267,27,Objects Around Us,Can you carry water in a bucket?,Yes,No,,,Yes,MCQ,,
F_SCI_L027_Q268,27,Objects Around Us,Which of these can hold juice?,Chair,Pencil,Cup,Book,Cup,MCQ,,
F_SCI_L027_Q269,27,Objects Around Us,Which of these is not used for drinking?,Shoe,Bottle,Cup,Glass,Shoe,MCQ,,
F_SCI_L027_Q270,27,Objects Around Us,We use cups to drink.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L027_Q271,27,Objects Around Us,Can a bowl hold water?,Yes,No,,,Yes,MCQ,,
F_SCI_L027_Q272,27,Objects Around Us,Which of these can hold milk?,Bottle,Stone,Book,,Bottle,MCQ,,
F_SCI_L027_Q273,27,Objects Around Us,Objects around us help us every day.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L027_Q274,27,Objects Around Us,Match the object with its job,,,,,,Match,"[{""left"":""Bottle"",""right"":""Hold Water""},{""left"":""Chair"",""right"":""Sit""},{""left"":""Ball"",""right"":""Play""},{""left"":""Pencil"",""right"":""Write""}]",
F_SCI_L028_Q275,28,Materials,Which of these is usually made of wood?,Table,Bottle,Balloon,,Table,MCQ,,
F_SCI_L028_Q276,28,Materials,A chair can be made of wood.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L028_Q277,28,Materials,Does wood come from trees?,Yes,No,,,Yes,MCQ,,
F_SCI_L028_Q278,28,Materials,Which of these is usually made of wood?,Door,Glass Cup,Plastic Bag,,Door,MCQ,,
F_SCI_L028_Q279,28,Materials,Which of these is NOT usually made of wood?,Glass Cup,Door,Table,Chair,Glass Cup,MCQ,,
F_SCI_L028_Q280,28,Materials,Many tables are made of wood.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L028_Q281,28,Materials,Can a pencil be made of wood?,Yes,No,,,Yes,MCQ,,
F_SCI_L028_Q282,28,Materials,Which object is usually made of wood?,Bookshelf,Shoe,Bottle,,Bookshelf,MCQ,,
F_SCI_L028_Q283,28,Materials,Wood is strong and useful.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L028_Q284,28,Materials,Match the object with its material,,,,,,Match,"[{""left"":""Table"",""right"":""Wood""},{""left"":""Bottle"",""right"":""Plastic""},{""left"":""Spoon"",""right"":""Metal""},{""left"":""Window"",""right"":""Glass""}]",
F_SCI_L029_Q285,29,Materials,Which of these is usually made of plastic?,Water Bottle,Wooden Table,Glass Window,,Water Bottle,MCQ,,
F_SCI_L029_Q286,29,Materials,A toy can be made of plastic.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L029_Q287,29,Materials,Can a plastic bottle hold water?,Yes,No,,,Yes,MCQ,,
F_SCI_L029_Q288,29,Materials,Which of these is usually made of plastic?,Bucket,Paper Book,Wooden Chair,,Bucket,MCQ,,
F_SCI_L029_Q289,29,Materials,Which of these is NOT usually made of plastic?,Glass Cup,Toy Car,Lunch Box,Water Bottle,Glass Cup,MCQ,,
F_SCI_L029_Q290,29,Materials,Plastic is used to make many toys.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L029_Q291,29,Materials,Can a lunch box be made of plastic?,Yes,No,,,Yes,MCQ,,
F_SCI_L029_Q292,29,Materials,Which object is usually made of plastic?,Comb,Brick,Stone,,Comb,MCQ,,
F_SCI_L029_Q293,29,Materials,A toothbrush can be made of plastic.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L029_Q294,29,Materials,Match the object with its material,,,,,,Match,"[{""left"":""Door"",""right"":""Wood""},{""left"":""Bucket"",""right"":""Plastic""},{""left"":""Coin"",""right"":""Metal""},{""left"":""Fish Tank"",""right"":""Glass""}]",
F_SCI_L030_Q295,30,Materials,Which of these is usually made of metal?,Spoon,Paper,Cloth,,Spoon,MCQ,,
F_SCI_L030_Q296,30,Materials,A key is usually made of metal.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L030_Q297,30,Materials,Can a coin be made of metal?,Yes,No,,,Yes,MCQ,,
F_SCI_L030_Q298,30,Materials,Which of these is usually made of metal?,Nail,Book,Balloon,,Nail,MCQ,,
F_SCI_L030_Q299,30,Materials,Which of these is NOT usually made of metal?,Key,Spoon,Coin,Towel,Towel,MCQ,,
F_SCI_L030_Q300,30,Materials,Many cooking pots are made of metal.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L030_Q301,30,Materials,Can a metal spoon be used to eat soup?,Yes,No,,,Yes,MCQ,,
F_SCI_L030_Q302,30,Materials,Which object is usually made of metal?,Lock,Notebook,Pillow,,Lock,MCQ,,
F_SCI_L030_Q303,30,Materials,Metal is strong.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L030_Q304,30,Materials,Match the object with its material,,,,,,Match,"[{""left"":""Pencil"",""right"":""Wood""},{""left"":""Comb"",""right"":""Plastic""},{""left"":""Key"",""right"":""Metal""},{""left"":""Drinking Glass"",""right"":""Glass""}]",
F_SCI_L031_Q305,31,Materials,Which of these is usually made of glass?,Window,Book,Towel,,Window,MCQ,,
F_SCI_L031_Q306,31,Materials,A drinking glass is made of glass.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L031_Q307,31,Materials,Can you see through clear glass?,Yes,No,,,Yes,MCQ,,
F_SCI_L031_Q308,31,Materials,Which of these is usually made of glass?,Bottle,Shoe,Pencil,,Bottle,MCQ,,
F_SCI_L031_Q309,31,Materials,Glass can break if it falls.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L031_Q310,31,Materials,Should you be careful with broken glass?,Yes,No,,,Yes,MCQ,,
F_SCI_L031_Q311,31,Materials,Which material can you see through?,Glass,Wood,Paper,,Glass,MCQ,,
F_SCI_L031_Q312,31,Materials,Which of these is usually made of glass?,Fish Tank,Metal Spoon,Plastic Bucket,,Fish Tank,MCQ,,
F_SCI_L031_Q313,31,Materials,Windows are often made of glass.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L031_Q314,31,Materials,Match the object with its material,,,,,,Match,"[{""left"":""Tree"",""right"":""Wood""},{""left"":""Toothbrush"",""right"":""Plastic""},{""left"":""Lock"",""right"":""Metal""},{""left"":""Glass Bottle"",""right"":""Glass""}]",
F_SCI_L032_Q315,32,Materials,Which of these is usually made of paper?,Notebook,Glass Jar,Metal Key,,Notebook,MCQ,,
F_SCI_L032_Q316,32,Materials,Paper is used to make books.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L032_Q317,32,Materials,Can clothes be made from fabric?,Yes,No,,,Yes,MCQ,,
F_SCI_L032_Q318,32,Materials,Which of these is usually made of fabric?,Shirt,Glass Bottle,Metal Spoon,,Shirt,MCQ,,
F_SCI_L032_Q319,32,Materials,Which of these is usually made of rubber?,Eraser,Book,Glass Cup,,Eraser,MCQ,,
F_SCI_L032_Q320,32,Materials,Many tyres are made of rubber.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L032_Q321,32,Materials,Can you wear a cotton T-shirt?,Yes,No,,,Yes,MCQ,,
F_SCI_L032_Q322,32,Materials,Which object is made of rubber?,Balloon,Glass Cup,Metal Spoon,,Balloon,MCQ,,
F_SCI_L032_Q323,32,Materials,Books are made of paper.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L032_Q324,32,Materials,Match the object with its material,,,,,,Match,"[{""left"":""Notebook"",""right"":""Paper""},{""left"":""Shirt"",""right"":""Fabric""},{""left"":""Eraser"",""right"":""Rubber""},{""left"":""Book"",""right"":""Paper""}]",
F_SCI_L033_Q325,33,Force and Motion,,,,,,,Lesson,Science/force_motion.md,
F_SCI_L033_Q326,33,Force and Motion,What can make a toy car start moving?,Push,Sleep,Read,,Push,MCQ,,
F_SCI_L033_Q327,33,Force and Motion,A push can make a ball move.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L033_Q328,33,Force and Motion,Can a kick make a football move?,Yes,No,,,Yes,MCQ,,
F_SCI_L033_Q329,33,Force and Motion,Which action can start a swing moving?,Push,Read,Sleep,,Push,MCQ,,
F_SCI_L033_Q330,33,Force and Motion,What can stop a rolling ball?,Your Hand,The Sun,A Cloud,,Your Hand,MCQ,,
F_SCI_L033_Q331,33,Force and Motion,You can stop a toy car by holding it.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L033_Q332,33,Force and Motion,Can you stop a bicycle by using its brakes?,Yes,No,,,Yes,MCQ,,
F_SCI_L033_Q333,33,Force and Motion,Which action can stop a moving toy car?,Hold It,Push It Hard,Read a Book,,Hold It,MCQ,,
F_SCI_L033_Q334,33,Force and Motion,Which object can start moving when you push it?,Shopping Cart,Tree,Cloud,,Shopping Cart,MCQ,,
F_SCI_L033_Q335,33,Force and Motion,Match the action with what it does,,,,,,Match,"[{""left"":""Push"",""right"":""Start Moving""},{""left"":""Pull"",""right"":""Bring Closer""},{""left"":""Kick"",""right"":""Move a Ball""},{""left"":""Brakes"",""right"":""Stop Movement""}]",
F_SCI_L034_Q336,34,Force and Motion,What do you do to close a door?,Push,Pull,,,Push,MCQ,,
F_SCI_L034_Q337,34,Force and Motion,Pushing moves an object away from you.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L034_Q338,34,Force and Motion,Do you push a shopping cart?,Yes,No,,,Yes,MCQ,,
F_SCI_L034_Q339,34,Force and Motion,Which action moves a toy car away from you?,Push,Pull,Throw,,Push,MCQ,,
F_SCI_L034_Q340,34,Force and Motion,Which of these usually needs a push?,Book,Eraser,Pencil,Shopping Cart,Shopping Cart,MCQ,,
F_SCI_L034_Q341,34,Force and Motion,You can push a chair across the floor.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L034_Q342,34,Force and Motion,Can you push a box?,Yes,No,,,Yes,MCQ,,
F_SCI_L034_Q343,34,Force and Motion,Which action moves something away from your body?,Push,Pull,Hold,,Push,MCQ,,
F_SCI_L034_Q344,34,Force and Motion,Which object can you push?,Shadow,Cloud,Toy Car,Rainbow,Toy Car,MCQ,,
F_SCI_L034_Q345,34,Force and Motion,Which action would you use to move a table forward?,Lift,Push,Jump,Pull,Push,MCQ,,
F_SCI_L035_Q346,35,Force and Motion,What do you do to open a drawer?,Pull,Push,,,Pull,MCQ,,
F_SCI_L035_Q347,35,Force and Motion,Pulling brings an object closer to you.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L035_Q348,35,Force and Motion,Do you pull a rope?,Yes,No,,,Yes,MCQ,,
F_SCI_L035_Q349,35,Force and Motion,Which action brings a toy wagon closer to you?,Pull,Push,Throw,,Pull,MCQ,,
F_SCI_L035_Q350,35,Force and Motion,Which of these usually needs a pull?,Tree,Rock,Suitcase,Wall,Suitcase,MCQ,,
F_SCI_L035_Q351,35,Force and Motion,You can pull a chair toward you.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L035_Q352,35,Force and Motion,Can you pull a door open?,Yes,No,,,Yes,MCQ,,
F_SCI_L035_Q353,35,Force and Motion,Which action moves something closer to your body?,Pull,Push,Hold,,Pull,MCQ,,
F_SCI_L035_Q354,35,Force and Motion,Which object can you pull with a rope?,Toy Wagon,Sun,Rainbow,Cloud,Toy Wagon,MCQ,,
F_SCI_L035_Q355,35,Force and Motion,Which action would you use to move a suitcase toward you?,Kick,Pull,Lift,Push,Pull,MCQ,,
F_SCI_L036_Q356,36,Force and Motion,Which animal is faster?,Cheetah,Turtle,,,Cheetah,MCQ,,
F_SCI_L036_Q357,36,Force and Motion,A snail moves slowly.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L036_Q358,36,Force and Motion,Does a car usually move faster than a bicycle?,Yes,No,,,Yes,MCQ,,
F_SCI_L036_Q359,36,Force and Motion,Which moves faster?,Airplane,Bus,Bicycle,,Airplane,MCQ,,
F_SCI_L036_Q360,36,Force and Motion,Which of these moves the slowest?,Rabbit,Horse,Cheetah,Turtle,Turtle,MCQ,,
F_SCI_L036_Q361,36,Force and Motion,Running is faster than walking.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L036_Q362,36,Force and Motion,Can a rabbit run faster than a snail?,Yes,No,,,Yes,MCQ,,
F_SCI_L036_Q363,36,Force and Motion,Which person is moving slowly?,Walking Child,Running Child,Cycling Child,,Walking Child,MCQ,,
F_SCI_L036_Q364,36,Force and Motion,Which vehicle usually moves the fastest?,Bicycle,Train,Airplane,Car,Airplane,MCQ,,
F_SCI_L036_Q365,36,Force and Motion,Which activity is the slowest?,Running,Driving,Walking,Cycling,Walking,MCQ,,
F_SCI_L037_Q366,37,Force and Motion,Which object rolls easily?,Ball,Book,,,Ball,MCQ,,
F_SCI_L037_Q367,37,Force and Motion,A box can slide across the floor.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L037_Q368,37,Force and Motion,Can a wheel roll?,Yes,No,,,Yes,MCQ,,
F_SCI_L037_Q369,37,Force and Motion,Which object usually slides?,Book,Ball,Coin,,Book,MCQ,,
F_SCI_L037_Q370,37,Force and Motion,Which of these rolls?,Marble,Pillow,Towel,Notebook,Marble,MCQ,,
F_SCI_L037_Q371,37,Force and Motion,A box usually slides better than it rolls.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L037_Q372,37,Force and Motion,Do you push a shopping cart to move it?,Yes,No,,,Yes,MCQ,,
F_SCI_L037_Q373,37,Force and Motion,Which action brings an object closer to you?,Pull,Push,Roll,,Pull,MCQ,,
F_SCI_L037_Q374,37,Force and Motion,Which object is most likely to roll down a hill?,Football,Eraser,Book,Pencil,Football,MCQ,,
F_SCI_L037_Q375,37,Force and Motion,Which action is correct for opening a drawer?,Pull,Roll,Push,Slide,Pull,MCQ,,
F_SCI_L038_Q376,38,Light,,,,,,,Lesson,Science/light.md,
F_SCI_L038_Q377,38,Light,Which gives us light during the day?,Sun,Moon,Star,,Sun,MCQ,,
F_SCI_L038_Q378,38,Light,The Sun gives us light.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L038_Q379,38,Light,Can a candle give light when it is burning?,Yes,No,,,Yes,MCQ,,
F_SCI_L038_Q380,38,Light,Which of these gives light?,Torch,Book,Chair,,Torch,MCQ,,
F_SCI_L038_Q381,38,Light,Which of these does NOT give its own light?,Sun,Candle,Moon,Light Bulb,Moon,MCQ,,
F_SCI_L038_Q382,38,Light,A light bulb gives us light.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L038_Q383,38,Light,Can you use a torch in the dark?,Yes,No,,,Yes,MCQ,,
F_SCI_L038_Q384,38,Light,Which do we use to light up a room?,Light Bulb,Table,Bag,,Light Bulb,MCQ,,
F_SCI_L038_Q385,38,Light,Which of these gives light?,Candle,Pencil,Shoe,,Candle,MCQ,,
F_SCI_L038_Q386,38,Light,Match the light source with where we use it,,,,,,Match,"[{""left"":""Sun"",""right"":""Daytime""},{""left"":""Torch"",""right"":""Dark places""},{""left"":""Light Bulb"",""right"":""Room""},{""left"":""Candle"",""right"":""Birthday Cake""}]",
F_SCI_L039_Q387,39,Light,Is the Sun a natural source of light?,Yes,No,,,Yes,MCQ,,
F_SCI_L039_Q388,39,Light,Can you see well in a dark room without a light?,Yes,No,,,No,MCQ,,
F_SCI_L039_Q389,39,Light,Which helps you see at night?,Torch,Book,Pencil,,Torch,MCQ,,
F_SCI_L039_Q390,39,Light,Do we need light to see things?,Yes,No,,,Yes,MCQ,,
F_SCI_L039_Q391,39,Light,We can see better when there is light.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L039_Q392,39,Light,Which place is usually dark at night?,Playground,Bedroom with lights off,Classroom,,Bedroom with lights off,MCQ,,
F_SCI_L039_Q393,39,Light,Which helps you see during a power cut?,Torch,Pillow,Spoon,,Torch,MCQ,,
F_SCI_L039_Q394,39,Light,The Sun shines during the day.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L039_Q395,39,Light,Match the object with when it is most useful,,,,,,Match,"[{""left"":""Sun"",""right"":""Day""},{""left"":""Moon"",""right"":""Night Sky""},{""left"":""Torch"",""right"":""Dark Place""},{""left"":""Light Bulb"",""right"":""Room""}]",
F_SCI_L039_Q396,39,Light,Which can you see through?,Glass Window,Wooden Door,Brick Wall,,Glass Window,MCQ,,
F_SCI_L040_Q397,40,Light,Can you see outside through a clean glass window?,Yes,No,,,Yes,MCQ,,
F_SCI_L040_Q398,40,Light,Which blocks your view?,Brick Wall,Glass Window,Clean Water,,Brick Wall,MCQ,,
F_SCI_L040_Q399,40,Light,A clean glass window lets you see outside.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L040_Q400,40,Light,Which lets some sunlight into a room?,Window,Door,Wall,,Window,MCQ,,
F_SCI_L040_Q401,40,Light,Can a curtain make a room darker?,Yes,No,,,Yes,MCQ,,
F_SCI_L040_Q402,40,Light,Which helps sunlight enter your classroom?,Window,Roof,Floor,,Window,MCQ,,
F_SCI_L040_Q403,40,Light,What is formed when light is blocked?,Shadow,Rainbow,Cloud,,Shadow,MCQ,,
F_SCI_L040_Q404,40,Light,A tree can make a shadow.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L040_Q405,40,Light,Do you see your shadow on a sunny day?,Yes,No,,,Yes,MCQ,,
F_SCI_L040_Q406,40,Light,Match the object with the shadow it can make,,,,,,Match,"[{""left"":""Tree"",""right"":""Tree Shadow""},{""left"":""Person"",""right"":""Body Shadow""},{""left"":""Toy"",""right"":""Toy Shadow""},{""left"":""Building"",""right"":""Building Shadow""}]",
F_SCI_L041_Q407,41,Light,Which of these can make a shadow?,Person,Air,Light,,Person,MCQ,,
F_SCI_L041_Q408,41,Light,Air cannot make a shadow.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L041_Q409,41,Light,Can a ball make a shadow?,Yes,No,,,Yes,MCQ,,
F_SCI_L041_Q410,41,Light,Where do you usually see your shadow?,On the Ground,In the Sky,In Water,,On the Ground,MCQ,,
F_SCI_L041_Q411,41,Light,The Sun can make shadows.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L041_Q412,41,Light,Which of these can make a shadow?,Tree,Wind,Air,,Tree,MCQ,,
F_SCI_L041_Q413,41,Light,Can your hand make a shadow?,Yes,No,,,Yes,MCQ,,
F_SCI_L041_Q414,41,Light,A toy can make a shadow in sunlight.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L041_Q415,41,Light,Which helps make a shadow on a sunny day?,Sun,Moon,Chair,,Sun,MCQ,,
F_SCI_L041_Q416,41,Light,Which gives us light?,Light Bulb,Book,Table,,Light Bulb,MCQ,,
F_SCI_L042_Q417,42,Light,The Moon does not make its own light.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L042_Q418,42,Light,Can you use a torch to see in the dark?,Yes,No,,,Yes,MCQ,,
F_SCI_L042_Q419,42,Light,Which helps you see during the day?,Sun,Chair,Bag,,Sun,MCQ,,
F_SCI_L042_Q420,42,Light,Which of these can make a shadow?,Book,Air,Wind,,Book,MCQ,,
F_SCI_L042_Q421,42,Light,A clean glass window lets you see outside.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L042_Q422,42,Light,Can a tree make a shadow?,Yes,No,,,Yes,MCQ,,
F_SCI_L042_Q423,42,Light,Which object lets sunlight into a room?,Window,Wall,Door,,Window,MCQ,,
F_SCI_L042_Q424,42,Light,Which is used when there is no electricity?,Candle,Pencil,Shoe,,Candle,MCQ,,
F_SCI_L042_Q425,42,Light,Match the object with its job,,,,,,Match,"[{""left"":""Sun"",""right"":""Gives light in the day""},{""left"":""Torch"",""right"":""Helps us see in the dark""},{""left"":""Window"",""right"":""Lets light into a room""},{""left"":""Shadow"",""right"":""Forms when light is blocked""}]",
F_SCI_L042_Q426,42,Light,We need light to see things.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L043_Q427,43,Sound,,,,,,,Lesson,Science/sound.md,
F_SCI_L043_Q428,43,Sound,Which of these makes a sound?,Bell,Book,Stone,,Bell,MCQ,,
F_SCI_L043_Q429,43,Sound,A drum makes a sound.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L043_Q430,43,Sound,Can a bird make a sound?,Yes,No,,,Yes,MCQ,,
F_SCI_L043_Q431,43,Sound,Which of these makes a sound?,Guitar,Chair,Table,,Guitar,MCQ,,
F_SCI_L043_Q432,43,Sound,Which of these does NOT make a sound by itself?,Book,Bell,Dog,Drum,Book,MCQ,,
F_SCI_L043_Q433,43,Sound,People can make sounds by speaking.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L043_Q434,43,Sound,Can a dog bark?,Yes,No,,,Yes,MCQ,,
F_SCI_L043_Q435,43,Sound,Which animal makes a sound?,Cat,Rock,Pencil,,Cat,MCQ,,
F_SCI_L043_Q436,43,Sound,Does a school bell make a sound?,Yes,No,,,Yes,MCQ,,
F_SCI_L043_Q437,43,Sound,Match the thing with its sound,,,,,,Match,"[{""left"":""Dog"",""right"":""Barks""},{""left"":""Cat"",""right"":""Meows""},{""left"":""Bird"",""right"":""Chirps""},{""left"":""Bell"",""right"":""Rings""}]",
F_SCI_L044_Q438,44,Sound,Which of these makes a loud sound?,Drum,Whisper,Clock Tick,,Drum,MCQ,,
F_SCI_L044_Q439,44,Sound,A whisper is a soft sound.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L044_Q440,44,Sound,Is thunder usually a loud sound?,Yes,No,,,Yes,MCQ,,
F_SCI_L044_Q441,44,Sound,Which of these makes a soft sound?,Clock Tick,Thunder,Drum,,Clock Tick,MCQ,,
F_SCI_L044_Q442,44,Sound,Which sound is the loudest?,Leaves Rustling,Clock Tick,Whisper,Fireworks,Fireworks,MCQ,,
F_SCI_L044_Q443,44,Sound,Shouting is louder than talking.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L044_Q444,44,Sound,Can you speak in a soft voice?,Yes,No,,,Yes,MCQ,,
F_SCI_L044_Q445,44,Sound,Which of these makes a soft sound?,Leaves Rustling,Fireworks,Drum,,Leaves Rustling,MCQ,,
F_SCI_L044_Q446,44,Sound,Should you protect your ears from very loud sounds?,Yes,No,,,Yes,MCQ,,
F_SCI_L044_Q447,44,Sound,Match the sound with its loudness,,,,,,Match,"[{""left"":""Thunder"",""right"":""Loud""},{""left"":""Fireworks"",""right"":""Very Loud""},{""left"":""Whisper"",""right"":""Soft""},{""left"":""Clock Tick"",""right"":""Soft""}]",
F_SCI_L045_Q448,45,Sound,"Which animal says ""Moo""?",Cow,Cat,Dog,,Cow,MCQ,,
F_SCI_L045_Q449,45,Sound,"A cat says ""Meow"".",TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L045_Q450,45,Sound,Does a dog bark?,Yes,No,,,Yes,MCQ,,
F_SCI_L045_Q451,45,Sound,"Which animal says ""Quack""?",Duck,Cow,Horse,,Duck,MCQ,,
F_SCI_L045_Q452,45,Sound,Which animal chirps?,Bird,Fish,Rabbit,,Bird,MCQ,,
F_SCI_L045_Q453,45,Sound,"A rooster says ""Cock-a-doodle-doo"".",TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L045_Q454,45,Sound,Can you hear the school bell at school?,Yes,No,,,Yes,MCQ,,
F_SCI_L045_Q455,45,Sound,Which sound tells you a car is coming?,Horn,Bell,Whistle,,Horn,MCQ,,
