Id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,Subscription
F_ENG_L022_Q218,22,Action Words,The train arrived at the station late. Choose the correct verb.,arrived,late,station,train,arrived,MCQ,,
F_ENG_L022_Q219,22,Action Words,The girls danced beautifully on the stage. Choose the correct verb.,stage,girls,beautifully,danced,danced,MCQ,,
F_ENG_L022_Q220,22,Action Words,He repaired the broken chair himself. Choose the correct verb.,broken,repaired,himself,chair,repaired,MCQ,,
F_ENG_L022_Q221,22,Action Words,The cat slept under the table quietly. Choose the correct verb.,cat,table,slept,quietly,slept,MCQ,,
F_ENG_L022_Q222,22,Action Words,Students study hard before exams. Choose the correct verb.,exams,students,hard,study,study,MCQ,,
F_ENG_L023_Q223,23,Action Words,The bird built a nest in the tree. Choose the correct verb.,bird,nest,built,tree,built,MCQ,,
F_ENG_L023_Q224,23,Action Words,My uncle bought a new bicycle yesterday. Choose the correct verb.,yesterday,bicycle,uncle,bought,bought,MCQ,,
F_ENG_L023_Q225,23,Action Words,The chef prepared tasty soup for dinner. Choose the correct verb.,chef,tasty,prepared,dinner,prepared,MCQ,,
F_ENG_L023_Q226,23,Action Words,The players practiced before the match.. Choose the correct verb.,regularly,players,match,practiced,practiced,MCQ,,
F_ENG_L023_Q227,23,Action Words,She carried the heavy bag upstairs. Choose the correct verb.,bag,carried,upstairs,heavy,carried,MCQ,,
F_ENG_L023_Q228,23,Action Words,The mechanic fixed the car carefully. Choose the correct verb.,car,fixed,mechanic,carefully,fixed,MCQ,,
F_ENG_L023_Q229,23,Action Words,The baby smiled at her mother happily. Choose the correct verb.,smiled,baby,happily,mother,smiled,MCQ,,
F_ENG_L023_Q230,23,Action Words,The boys climbed the tall tree quickly. Choose the correct verb.,tree,climbed,boys,tall,climbed,MCQ,,
F_ENG_L023_Q231,23,Action Words,My sister painted a beautiful picture yesterday. Choose the correct verb.,beautiful,picture,sister,painted,painted,MCQ,,
F_ENG_L023_Q232,23,Action Words,The teacher checked our homework in class. Choose the correct verb.,class,teacher,checked,homework,checked,MCQ,,
F_ENG_L024_Q233,24,Action Words,The lion roared loudly in the jungle. Choose the correct verb.,roared,jungle,loudly,lion,roared,MCQ,,
F_ENG_L024_Q234,24,Action Words,The students listened to the story carefully. Choose the correct verb.,listened,carefully,students,story,listened,MCQ,,
F_ENG_L024_Q235,24,Action Words,Father cleaned the garage on Sunday. Choose the correct verb.,cleaned,father,garage,Sunday,cleaned,MCQ,,
F_ENG_L024_Q236,24,Action Words,The fisherman caught a big fish today. Choose the correct verb.,fish,caught,fisherman,big,caught,MCQ,,
F_ENG_L024_Q237,24,Action Words,My cousin visited us during the holidays. Choose the correct verb.,holidays,visited,cousin,us,visited,MCQ,,
F_ENG_L024_Q238,24,Action Words,The child dropped the glass accidentally. Choose the correct verb.,accidentally,child,glass,dropped,dropped,MCQ,,
F_ENG_L024_Q239,24,Action Words,The birds chirped sweetly in the morning. Choose the correct verb.,birds,morning,sweetly,chirped,chirped,MCQ,,
F_ENG_L024_Q240,24,Action Words,The shopkeeper counted the money twice. Choose the correct verb.,shopkeeper,counted,twice,money,counted,MCQ,,
F_ENG_L024_Q241,24,Action Words,The players celebrated after winning.. Choose the correct verb.,players,joyfully,celebrated,victory,celebrated,MCQ,,
F_ENG_L024_Q242,24,Action Words,My grandfather told interesting stories at night. Choose the correct verb.,grandfather,stories,night,told,told,MCQ,,
F_ENG_L025_Q243,25,Action Words,The girl folded her clothes neatly. Choose the correct verb.,clothes,folded,neatly,girl,folded,MCQ,,
F_ENG_L025_Q244,25,Action Words,The driver stopped the bus near the market. Choose the correct verb.,driver,bus,stopped,market,stopped,MCQ,,
F_ENG_L025_Q245,25,Action Words,The students copied the notes from the board. Choose the correct verb.,notes,copied,board,students,copied,MCQ,,
F_ENG_L025_Q246,25,Action Words,The waiter served food. Choose the correct verb.,guests,politely,served,waiter,served,MCQ,,
F_ENG_L025_Q247,25,Action Words,The boy threw the ball over the fence. Choose the correct verb.,ball,fence,threw,boy,threw,MCQ,,
F_ENG_L025_Q248,25,Action Words,My aunt baked a cake for my birthday. Choose the correct verb.,cake,aunt,birthday,baked,baked,MCQ,,
F_ENG_L025_Q249,25,Action Words,The policeman helped people cross the road.,helped,road,policeman,people,helped,MCQ,,
F_ENG_L025_Q250,25,Action Words,The artist drew a picture. Choose the correct verb.,picture,drew,artist,,drew,MCQ,,
F_ENG_L025_Q251,25,Action Words,The little girl hugged her teddy bear tightly. Choose the correct verb.,girl,teddy bear,tightly,hugged,hugged,MCQ,,
F_ENG_L025_Q252,25,Action Words,The students completed the project before deadline. Choose the correct verb.,completed,project,deadline,students,completed,MCQ,,
F_ENG_L026_Q253,26,,,,,,,,Lesson,English/adjective.md,
F_ENG_L026_Q254,26,Describing Words,She wore a _____ dress to the party. (Adjective),softly,beautiful,quickly,danced,beautiful,MCQ,,
F_ENG_L026_Q255,26,Describing Words,The _____ tiger scared the villagers. (Adjective),jumped,slowly,fierce,loudly,fierce,MCQ,,
F_ENG_L026_Q256,26,Describing Words,We live in a _____ house near the river. (Adjective),ran,happily,small,carefully,small,MCQ,,
F_ENG_L026_Q257,26,Describing Words,The soup was very _____ today. (Adjective),tasty,ate,loudly,quickly,tasty,MCQ,,
F_ENG_L026_Q258,26,Describing Words,He bought a _____ bicycle for his son. (Adjective),shiny,repaired,neatly,shouted,shiny,MCQ,,
F_ENG_L026_Q259,26,Describing Words,The mountain is very _____. (Adjective),high,climbed,silently,played,high,MCQ,,
F_ENG_L026_Q260,26,Describing Words,My grandfather told an _____ story. (Adjective),pushed,interesting,walked,slowly,interesting,MCQ,,
F_ENG_L026_Q261,26,Describing Words,The baby has _____ cheeks. (Adjective),opened,quickly,soft,cried,soft,MCQ,,
F_ENG_L026_Q262,26,Describing Words,We saw a _____ rainbow after the rain. (Adjective),loudly,jumped,danced,colorful,colorful,MCQ,,
F_ENG_L026_Q263,26,Describing Words,Match the noun with the best describing word.,,,,,,Match,"[{""left"":""Lion"",""right"":""Brave""},{""left"":""Ice"",""right"":""Cold""},{""left"":""Flower"",""right"":""Beautiful""},{""left"":""Feather"",""right"":""Soft""}]",
F_ENG_L027_Q264,27,Describing Words,The _____ puppy followed the boy home. (Adjective),sadly,repaired,cute,climbed,cute,MCQ,,
F_ENG_L027_Q265,27,Describing Words,She gave me a _____ smile. (Adjective),painted,warm,fixed,silently,warm,MCQ,,
F_ENG_L027_Q266,27,Describing Words,The road becomes _____ during winter. (Adjective),folded,slippery,washed,shouted,slippery,MCQ,,
F_ENG_L027_Q267,27,Describing Words,It was a _____ day at the beach. (Adjective),swam,loudly,chased,sunny,sunny,MCQ,,
F_ENG_L027_Q268,27,Describing Words,The _____ flowers filled the garden with beauty. (Adjective),quickly,beautiful,repaired,opened,beautiful,MCQ,,
F_ENG_L027_Q269,27,Describing Words,He carried a _____ bag to school. (Adjective),laughed,floated,softly,heavy,heavy,MCQ,,
F_ENG_L027_Q270,27,Describing Words,The movie was very _____. (Adjective),pushed,carefully,watched,exciting,exciting,MCQ,,
F_ENG_L027_Q271,27,Describing Words,They adopted a _____ kitten from the shelter. (Adjective),climbed,tiny,borrowed,neatly,tiny,MCQ,,
F_ENG_L027_Q272,27,Describing Words,The teacher gave us a _____ task. (Adjective),danced,difficult,silently,explained,difficult,MCQ,,
F_ENG_L027_Q273,27,Describing Words,Match the object with its describing word.,,,,,,Match,"[{""left"":""Ball"",""right"":""Round""},{""left"":""Lemon"",""right"":""Sour""},{""left"":""Candy"",""right"":""Sweet""},{""left"":""Rock"",""right"":""Hard""}]",
F_ENG_L028_Q274,28,Describing Words,The _____ river flows through the village. (Adjective),wide,carried,happily,folded,wide,MCQ,,
F_ENG_L028_Q275,28,Describing Words,She wore a _____ scarf in winter. (Adjective),softly,jumped,woolen,washed,woolen,MCQ,,
F_ENG_L028_Q276,28,Describing Words,The child solved the _____ puzzle quickly. (Adjective),hard,laughed,repaired,opened,hard,MCQ,,
F_ENG_L028_Q277,28,Describing Words,The old man lived in a _____ cottage. (Adjective),shouted,climbed,quiet,painted,quiet,MCQ,,
F_ENG_L028_Q278,28,Describing Words,We visited a _____ museum during our trip. (Adjective),borrowed,famous,danced,floated,famous,MCQ,,
F_ENG_L028_Q279,28,Describing Words,The _____ elephant walked through the forest. (Adjective),softly,ran,painted,huge,huge,MCQ,,
F_ENG_L028_Q280,28,Describing Words,She bought a _____ handbag from the market. (Adjective),pretty,loudly,washed,climbed,pretty,MCQ,,
F_ENG_L028_Q281,28,Describing Words,The _____ boy helped the old woman cross the road. (Adjective),repaired,kind,jumped,quickly,kind,MCQ,,
F_ENG_L028_Q282,28,Describing Words,We enjoyed the _____ breeze in the evening. (Adjective),shouted,cool,folded,fixed,cool,MCQ,,
F_ENG_L028_Q283,28,Describing Words,The teacher praised the _____ student. (Adjective),hardworking,carried,slowly,painted,hardworking,MCQ,,
F_ENG_L029_Q284,29,Describing Words,They stayed in a _____ hotel near the beach. (Adjective),opened,big,mixed,laughed,big,MCQ,,
F_ENG_L029_Q285,29,Describing Words,The _____ cake tasted delicious. (Adjective),silently,repaired,danced,chocolate,chocolate,MCQ,,
F_ENG_L029_Q286,29,Describing Words,He wore a _____ jacket during the trip. (Adjective),thick,washed,climbed,floated,thick,MCQ,,
F_ENG_L029_Q287,29,Describing Words,The _____ garden attracted many visitors. (Adjective),borrowed,beautiful,pushed,quickly,beautiful,MCQ,,
F_ENG_L029_Q288,29,Describing Words,We saw a _____ deer in the jungle. (Adjective),shouted,fast,folded,repaired,fast,MCQ,,
F_ENG_L029_Q289,29,Describing Words,The child asked a _____ question in class. (Adjective),carried,jumped,good,washed,good,MCQ,,
F_ENG_L029_Q290,29,Describing Words,The _____ pillow made me sleep comfortably. (Adjective),laughed,fluffy,climbed,painted,fluffy,MCQ,,
F_ENG_L029_Q291,29,Describing Words,The villagers crossed the _____ bridge carefully. (Adjective),floated,repaired,mixed,narrow,narrow,MCQ,,
F_ENG_L029_Q292,29,Describing Words,It was a _____ performance by the singer. (Adjective),danced,opened,amazing,fixed,amazing,MCQ,,
F_ENG_L029_Q293,29,Describing Words,The _____ room looked bright and cheerful. (Adjective),pushed,borrowed,climbed,clean,clean,MCQ,,
F_ENG_L030_Q294,30,Describing Words,The _____ fox disappeared into the woods. (Adjective),folded,washed,shouted,clever,clever,MCQ,,
F_ENG_L030_Q295,30,Describing Words,My aunt prepared a _____ meal for dinner. (Adjective),healthy,floated,jumped,repaired,healthy,MCQ,,
F_ENG_L030_Q296,30,Describing Words,The _____ clouds covered the sky. (Adjective),carried,dark,opened,laughed,dark,MCQ,,
F_ENG_L030_Q297,30,Describing Words,We visited an _____ castle during our vacation. (Adjective),mixed,climbed,ancient,washed,ancient,MCQ,,
F_ENG_L030_Q298,30,Describing Words,The _____ baby slept peacefully in the cradle. (Adjective),sleepy,shouted,repaired,folded,sleepy,MCQ,,
F_ENG_L030_Q299,30,Describing Words,The _____ runner won the gold medal. (Adjective),painted,borrowed,fast,floated,fast,MCQ,,
F_ENG_L030_Q300,30,Describing Words,The _____ road led to the mountain village. (Adjective),narrow,jumped,carried,fixed,narrow,MCQ,,
F_ENG_L030_Q301,30,Describing Words,She wore a _____ necklace at the party. (Adjective),sparkling,climbed,repaired,washed,sparkling,MCQ,,
F_ENG_L030_Q302,30,Describing Words,The _____ farmer worked in the field all day. (Adjective),laughed,hardworking,pushed,opened,hardworking,MCQ,,
F_ENG_L030_Q303,30,Describing Words,The _____ library was full of old books. (Adjective),quiet,floated,repaired,mixed,quiet,MCQ,,
F_ENG_L031_Q304,31,Describing Words,The girl wore a beautiful dress to the party. Choose the correct adjective.,girl,wore,beautiful,dress,beautiful,MCQ,,
F_ENG_L031_Q305,31,Describing Words,We visited an ancient temple last summer. Choose the correct adjective.,ancient,summer,temple,visited,ancient,MCQ,,
F_ENG_L031_Q306,31,Describing Words,The hungry child ate the sandwich quickly. Choose the correct adjective.,ate,hungry,sandwich,child,hungry,MCQ,,
F_ENG_L031_Q307,31,Describing Words,He bought a shiny new laptop yesterday. Choose the correct adjective.,bought,shiny,yesterday,laptop,shiny,MCQ,,
F_ENG_L031_Q308,31,Describing Words,The tall building can be seen from far away. Choose the correct adjective.,away,tall,seen,building,tall,MCQ,,
F_ENG_L031_Q309,31,Describing Words,She lives in a quiet neighborhood near the lake. Choose the correct adjective.,lake,lives,quiet,near,quiet,MCQ,,
F_ENG_L031_Q310,31,Describing Words,The brave soldier saved many people. Choose the correct adjective.,people,soldier,brave,saved,brave,MCQ,,
F_ENG_L031_Q311,31,Describing Words,We enjoyed the delicious food at the restaurant. Choose the correct adjective.,delicious,enjoyed,food,restaurant,delicious,MCQ,,
F_ENG_L031_Q312,31,Describing Words,The small kitten slept on the sofa. Choose the correct adjective.,small,slept,kitten,sofa,small,MCQ,,
F_ENG_L031_Q313,31,Describing Words,The clever student answered all the questions. Choose the correct adjective.,student,clever,answered,questions,clever,MCQ,,
F_ENG_L032_Q314,32,Describing Words,My uncle drives a fast car on highways. Choose the correct adjective.,fast,highways,uncle,car,fast,MCQ,,
F_ENG_L032_Q315,32,Describing Words,The old man walked slowly with a stick. Choose the correct adjective.,slowly,walked,stick,old,old,MCQ,,
F_ENG_L032_Q316,32,Describing Words,She wore a colorful scarf in winter. Choose the correct adjective.,wore,colorful,winter,scarf,colorful,MCQ,,
F_ENG_L032_Q317,32,Describing Words,The strong wind damaged several trees. Choose the correct adjective.,wind,trees,damaged,strong,strong,MCQ,,
F_ENG_L032_Q318,32,Describing Words,We saw a beautiful rainbow after the rain. Choose the correct adjective.,rain,beautiful,rainbow,saw,beautiful,MCQ,,
F_ENG_L032_Q319,32,Describing Words,The happy children played in the park. Choose the correct adjective.,happy,park,played,children,happy,MCQ,,
F_ENG_L032_Q320,32,Describing Words,The teacher told an interesting story today. Choose the correct adjective.,teacher,interesting,today,story,interesting,MCQ,,
F_ENG_L032_Q321,32,Describing Words,He carried a heavy bag to school. Choose the correct adjective.,carried,bag,heavy,school,heavy,MCQ,,
F_ENG_L032_Q322,32,Describing Words,The cold weather forced us to stay inside. Choose the correct adjective.,weather,forced,cold,inside,cold,MCQ,,
F_ENG_L032_Q323,32,Describing Words,The artist painted a wonderful picture. Choose the correct adjective.,artist,painted,picture,wonderful,wonderful,MCQ,,
F_ENG_L033_Q324,33,Describing Words,We stayed in a comfortable hotel during vacation. Choose the correct adjective.,vacation,hotel,comfortable,stayed,comfortable,MCQ,,
F_ENG_L033_Q325,33,Describing Words,The noisy crowd cheered for the team. Choose the correct adjective.,cheered,noisy,crowd,team,noisy,MCQ,,
F_ENG_L033_Q326,33,Describing Words,The smart boy solved the puzzle easily. Choose the correct adjective.,easily,puzzle,solved,smart,smart,MCQ,,
F_ENG_L033_Q327,33,Describing Words,She adopted a cute puppy from the shelter. Choose the correct adjective.,puppy,shelter,adopted,cute,cute,MCQ,,
F_ENG_L033_Q328,33,Describing Words,The rich man donated money to charity. Choose the correct adjective.,businessman,rich,donated,charity,rich,MCQ,,
F_ENG_L033_Q329,33,Describing Words,The lazy cat slept near the fireplace. Choose the correct adjective.,cat,lazy,slept,fireplace,lazy,MCQ,,
F_ENG_L033_Q330,33,Describing Words,We crossed a narrow bridge over the river. Choose the correct adjective.,crossed,narrow,bridge,river,narrow,MCQ,,
F_ENG_L033_Q331,33,Describing Words,The honest boy returned the lost wallet. Choose the correct adjective.,honest,boy,wallet,returned,honest,MCQ,,
F_ENG_L033_Q332,33,Describing Words,She bought a soft pillow for her bed. Choose the correct adjective.,bed,bought,pillow,soft,soft,MCQ,,
F_ENG_L033_Q333,33,Describing Words,The bright sun warmed the whole village. Choose the correct adjective.,bright,warmed,village,sun,bright,MCQ,,
F_ENG_L034_Q334,34,Describing Words,The poor farmer worked all day in the field. Choose the correct adjective.,farmer,poor,worked,field,poor,MCQ,,
F_ENG_L034_Q335,34,Describing Words,He wore a clean shirt to school. Choose the correct adjective.,wore,school,clean,shirt,clean,MCQ,,
F_ENG_L034_Q336,34,Describing Words,The friendly dog wagged its tail happily. Choose the correct adjective.,happily,dog,wagged,friendly,friendly,MCQ,,
F_ENG_L034_Q337,34,Describing Words,We enjoyed the fresh air in the countryside. Choose the correct adjective.,air,fresh,enjoyed,countryside,fresh,MCQ,,
F_ENG_L034_Q338,34,Describing Words,The little girl carried a basket of flowers. Choose the correct adjective.,basket,girl,little,carried,little,MCQ,,
F_ENG_L034_Q339,34,Describing Words,The empty classroom looked very quiet. Choose the correct adjectives.,classroom & empty,quiet & classroom,looked & quite,empty & quiet,empty & quiet,MCQ,,
F_ENG_L034_Q340,34,Describing Words,The clever fox escaped from the trap. Choose the correct adjective.,fox,clever,escaped,trap,clever,MCQ,,
F_ENG_L034_Q341,34,Describing Words,She lives in a modern apartment in the city. Choose the correct adjective.,apartment,modern,lives,city,modern,MCQ,,
F_ENG_L034_Q342,34,Describing Words,The thirsty traveler drank cold water. Choose the correct adjective.,drank,traveler,thirsty,water,thirsty,MCQ,,
F_ENG_L034_Q343,34,Describing Words,The gentle nurse cared for the patient kindly. Choose the correct adjective.,gentle,nurse,cared,kindly,gentle,MCQ,,
F_ENG_L035_Q344,35,Describing Words,The red balloon floated into the sky. Choose the correct adjective.,balloon,red,sky,floated,red,MCQ,,
F_ENG_L035_Q345,35,Describing Words,We walked along a sandy beach at sunset. Choose the correct adjective.,sunset,walked,beach,sandy,sandy,MCQ,,
F_ENG_L035_Q346,35,Describing Words,The angry teacher scolded the noisy students. Choose the correct adjective.,teacher,angry,scolded,students,angry,MCQ,,
F_ENG_L035_Q347,35,Describing Words,The broken chair was lying outside the room. Choose the correct adjective.,lying,broken,room,chair,broken,MCQ,,
F_ENG_L035_Q348,35,Describing Words,The cheerful singer entertained the audience. Choose the correct adjective.,singer,audience,entertained,cheerful,cheerful,MCQ,,
F_ENG_L035_Q349,35,Describing Words,He climbed the tall hill without stopping. Choose the correct adjective.,climbed,hill,stopping,tall,tall,MCQ,,
F_ENG_L035_Q350,35,Describing Words,The lonely child sat quietly in the corner. Choose the correct adjective.,corner,lonely,sat,child,lonely,MCQ,,
F_ENG_L035_Q351,35,Describing Words,The golden necklace was very expensive. Choose the correct adjectives.,golden & expensive,necklace & very,expensive & very,golden & necklece,golden & expensive,MCQ,,
F_ENG_L035_Q352,35,Describing Words,The famous actor visited our town yesterday. Choose the correct adjective.,actor,famous,visited,yesterday,famous,MCQ,,
F_ENG_L035_Q353,35,Describing Words,The weak patient needed immediate treatment. Choose the correct adjective.,treatment & immediate,patient & needed,needed & weak,weak & immediate,weak & immediate,MCQ,,
F_ENG_L036_Q354,36,,,,,,,,Lesson,English/pronoun.md,
F_ENG_L036_Q355,36,Pronoun,Rina is my friend. _________ is very kind. (Pronoun),It,They,He,She,She,MCQ,,
F_ENG_L036_Q356,36,Pronoun,Karim has a bicycle. _________ rides it every day. (Pronoun),It,They,She,He,He,MCQ,,
F_ENG_L036_Q357,36,Pronoun,My cat is sleeping. _________ is under the table. (Pronoun),It,She,He,We,It,MCQ,,
F_ENG_L036_Q358,36,Pronoun,Ali and I are classmates. _________ study together. (Pronoun),They,It,We,You,We,MCQ,,
F_ENG_L036_Q359,36,Pronoun,Rupa and Sima are sisters. _________ play together. (Pronoun),They,We,She,It,They,MCQ,,
F_ENG_L036_Q360,36,Pronoun,_________ am going to school now. (Pronoun),You,I,He,They,I,MCQ,,
F_ENG_L036_Q361,36,Pronoun,Can _________ help me carry this bag? (Pronoun),He,I,You,She,You,MCQ,,
F_ENG_L036_Q362,36,Pronoun,The dog is barking because _________ is hungry. (Pronoun),It,You,We,They,It,MCQ,,
F_ENG_L036_Q363,36,Pronoun,My parents are at home. _________ are watching TV. (Pronoun),They,She,He,We,They,MCQ,,
F_ENG_L036_Q364,36,Pronoun,Sara is reading a book. _________ likes reading. (Pronoun),She,They,He,It,She,MCQ,,
F_ENG_L037_Q365,37,Pronoun,"Replace the Naming Word: ""Tom is playing football."" (Pronoun)",They,He,It,She,He,MCQ,,
F_ENG_L037_Q366,37,Pronoun,"Replace the Naming Word: ""The bird is flying."" (Pronoun)",They,He,It,We,It,MCQ,,
F_ENG_L037_Q367,37,Pronoun,"Replace the Naming Words: ""Rina and Mina are singing."" (Pronoun)",She,We,They,It,They,MCQ,,
F_ENG_L037_Q368,37,Pronoun,Which word is a Pronoun?,happy,run,he,cat,he,MCQ,,
F_ENG_L037_Q369,37,Pronoun,Which word is a Pronoun?,red,jump,book,they,they,MCQ,,
F_ENG_L037_Q370,37,Pronoun,_________ are my best friends. (Pronoun),It,She,He,They,They,MCQ,,
F_ENG_L037_Q371,37,Pronoun,My brother is tall. _________ plays basketball. (Pronoun),We,They,He,She,He,MCQ,,
F_ENG_L037_Q372,37,Pronoun,The flower is beautiful. _________ smells nice. (Pronoun),He,It,You,They,It,MCQ,,
F_ENG_L037_Q373,37,Pronoun,Nila and I went to the zoo. _________ saw many animals. (Pronoun),She,We,They,It,We,MCQ,,
F_ENG_L037_Q374,37,Pronoun,_________ are a good student. (Pronoun),I,You,She,He,You,MCQ,,
F_ENG_L038_Q375,38,Pronoun,"Pick out the Pronoun: ""She is drawing a picture.""",She,picture,is,drawing,She,MCQ,,
F_ENG_L038_Q376,38,Pronoun,"Pick out the Pronoun: ""They are playing in the field.""",They,playing,are,field,They,MCQ,,
F_ENG_L038_Q377,38,Pronoun,"Pick out the Pronoun: ""We love our school.""",We,love,school,our,We,MCQ,,
F_ENG_L038_Q378,38,Pronoun,A pronoun is used instead of a _________ Word.,Doing,Naming,Joining,Describing,Naming,MCQ,,
F_ENG_L038_Q379,38,Pronoun,"Replace the Naming Word: ""The children are laughing."" (Pronoun)",She,It,They,He,They,MCQ,,
F_ENG_L038_Q380,38,Pronoun,The boys are playing cricket. _________ are having fun. (Pronoun),She,It,They,He,They,MCQ,,
F_ENG_L038_Q381,38,Pronoun,My mother is a teacher. _________ teaches English. (Pronoun),She,He,We,They,She,MCQ,,
F_ENG_L038_Q382,38,Pronoun,I have a pet fish. _________ swims in a bowl. (Pronoun),She,It,He,They,It,MCQ,,
F_ENG_L038_Q383,38,Pronoun,Rahim and I went shopping. _________ bought some fruit. (Pronoun),They,He,She,We,We,MCQ,,
F_ENG_L038_Q384,38,Pronoun,_________ am reading a storybook. (Pronoun),I,They,She,You,I,MCQ,,
F_ENG_L039_Q385,39,Pronoun,"The teacher asked, ""Can _________ answer this question?"" (Pronoun)",he,you,they,she,you,MCQ,,
F_ENG_L039_Q386,39,Pronoun,My sisters are singing. _________ sound wonderful. (Pronoun),It,She,He,They,They,MCQ,,
F_ENG_L039_Q387,39,Pronoun,The rabbit is eating a carrot. _________ looks happy. (Pronoun),It,We,You,They,It,MCQ,,
F_ENG_L039_Q388,39,Pronoun,Fatema is my cousin. _________ lives in Dhaka. (Pronoun),He,It,They,She,She,MCQ,,
F_ENG_L039_Q389,39,Pronoun,The students are studying. _________ have an exam tomorrow. (Pronoun),They,She,He,We,They,MCQ,,
F_ENG_L039_Q390,39,Pronoun,"Replace the Naming Word: ""Mina is drawing a flower."" (Pronoun)",It,He,They,She,She,MCQ,,
F_ENG_L039_Q391,39,Pronoun,"Replace the Naming Word: ""The tiger is sleeping."" (Pronoun)",They,He,It,We,It,MCQ,,
F_ENG_L039_Q392,39,Pronoun,"Replace the Naming Words: ""Tom and Jerry are friends."" (Pronoun)",It,He,She,They,They,MCQ,,
F_ENG_L039_Q393,39,Pronoun,Which word is a Pronoun?,book,run,they,beautiful,they,MCQ,,
F_ENG_L039_Q394,39,Pronoun,Which word is a Pronoun?,jump,green,we,school,we,MCQ,,
F_ENG_L040_Q395,40,Pronoun,_________ are going to the playground after school. (Pronoun),She,He,They,It,They,MCQ,,
F_ENG_L040_Q396,40,Pronoun,My father drives a car. _________ goes to work every day. (Pronoun),They,We,He,She,He,MCQ,,
F_ENG_L040_Q397,40,Pronoun,The computer is new. _________ works very fast. (Pronoun),They,He,It,You,It,MCQ,,
F_ENG_L040_Q398,40,Pronoun,Ali and I cleaned the room. _________ finished quickly. (Pronoun),She,We,They,He,We,MCQ,,
F_ENG_L040_Q399,40,Pronoun,_________ are my best friend. (Pronoun),He,She,You,It,You,MCQ,,
F_ENG_L040_Q400,40,Pronoun,"Pick out the Pronoun: ""He is riding a bicycle.""",is,riding,He,bicycle,He,MCQ,,
F_ENG_L040_Q401,40,Pronoun,"Pick out the Pronoun: ""It is raining outside.""",outside,is,It,raining,It,MCQ,,
F_ENG_L040_Q402,40,Pronoun,"Pick out the Pronoun: ""You are very helpful.""",very,are,You,helpful,You,MCQ,,
F_ENG_L040_Q403,40,Pronoun,A pronoun can replace a _________. (Pronoun),Noun,Verb,Conjunction,Adjective,Noun,MCQ,,
F_ENG_L040_Q404,40,Pronoun,"Replace the Naming Word: ""The girls are dancing."" (Pronoun)",They,She,It,He,They,MCQ,,
F_ENG_L041_Q405,41,Pronoun,Arif is my brother. _________ likes football. (Pronoun),She,It,They,He,He,MCQ,,
F_ENG_L041_Q406,41,Pronoun,The birds are flying in the sky. _________ are very high. (Pronoun),They,It,She,He,They,MCQ,,
F_ENG_L041_Q407,41,Pronoun,I have a new pencil. _________ is blue. (Pronoun),It,She,He,They,It,MCQ,,
F_ENG_L041_Q408,41,Pronoun,Salma and I are in the same class. _________ sit together. (Pronoun),She,They,He,We,We,MCQ,,
F_ENG_L041_Q409,41,Pronoun,_________ are my best friends. (Pronoun),It,They,She,He,They,MCQ,,
F_ENG_L041_Q410,41,Pronoun,My uncle is a doctor. _________ works at a hospital. (Pronoun),They,She,We,He,He,MCQ,,
F_ENG_L041_Q411,41,Pronoun,The baby is sleeping. _________ is very quiet. (Pronoun),They,It,He,We,It,MCQ,,
F_ENG_L041_Q412,41,Pronoun,Can _________ tell me the time? (Pronoun),She,I,He,You,You,MCQ,,
F_ENG_L041_Q413,41,Pronoun,The children are in the library. _________ are reading books. (Pronoun),He,They,It,She,They,MCQ,,
F_ENG_L041_Q414,41,Pronoun,_________ am learning English. (Pronoun),You,He,They,I,I,MCQ,,
F_ENG_L042_Q415,42,Pronoun,"Replace the Naming Word: ""Rahim is eating an apple."" (Pronoun)",They,He,It,She,He,MCQ,,
F_ENG_L042_Q416,42,Pronoun,"Replace the Naming Word: ""The horse is running fast."" (Pronoun)",They,We,It,He,It,MCQ,,
F_ENG_L042_Q417,42,Pronoun,"Replace the Naming Words: ""Rita and Tina are watching TV."" (Pronoun)",It,He,She,They,They,MCQ,,
F_ENG_L042_Q418,42,Pronoun,Which word is a Pronoun?,happy,car,they,run,they,MCQ,,
F_ENG_L042_Q419,42,Pronoun,Which word is a Pronoun?,green,jump,you,tree,you,MCQ,,
F_ENG_L042_Q420,42,Pronoun,_________ are going to visit our grandparents tomorrow. (Pronoun),He,She,They,It,They,MCQ,,
F_ENG_L042_Q421,42,Pronoun,My aunt is cooking dinner. _________ is in the kitchen. (Pronoun),It,They,He,She,She,MCQ,,
F_ENG_L042_Q422,42,Pronoun,The clock stopped working. _________ needs a new battery. (Pronoun),It,He,They,She,It,MCQ,,
F_ENG_L042_Q423,42,Pronoun,Mina and I planted flowers. _________ watered them every day. (Pronoun),We,He,They,She,We,MCQ,,
F_ENG_L042_Q424,42,Pronoun,_________ are a very kind person. (Pronoun),He,I,She,You,You,MCQ,,
F_ENG_L043_Q425,43,Pronoun,"Pick out the Pronoun: ""They went to the market.""",market,They,went,to,They,MCQ,,
F_ENG_L043_Q426,43,Pronoun,"Pick out the Pronoun: ""She sings beautifully.""",beautifully,sings,She,very,She,MCQ,,
F_ENG_L043_Q427,43,Pronoun,"Pick out the Pronoun: ""It is on the table.""",on,table,It,is,It,MCQ,,
